@RUN,EXCODE,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,GL%MS,GL%MM,CHTAS,CHTAM,R8APS,R8APM,EDAPS,EDAPM,region,idRun,score,simulacao
1,EMEP1403BN,1,1,BN,46,35,51,42,60,56,85,72,69,1605,89,2313,38,1090,0.1815,0.15,4.64,5.49,121,3202,50,-99,0.01,4.18,0.575,0.5,77.41,70.4,2,-99,3,-99,0,-99,3.58,-99,75,1409,3,-99,14.6,-99,2.81,-99,1.25,-99,94,-99,4,-99,-99,iteration_231054.009,94.205078725412,MAPE_200_400
2,EMEP1403BN,2,1,BN,47,42,52,48,63,62,87,82,76,1997,99,2923,44,1258,0.174,0.17,4.64,5.52,137,3204,60,-99,0.01,6.26,0.559,0.62,77.17,72.7,3,-99,4,-99,0,-99,3.64,-99,78,1349,3,-99,14.24,-99,2.93,-99,1.19,-99,96,-99,4,-99,-99,iteration_231054.009,94.205078725412,MAPE_200_400
3,EMEP1403BN,3,1,BN,49,49,55,55,64,68,86,90,83,2803,113,3069,56,1501,0.1481,0.19,4.64,4.52,151,4319,70,-99,0.01,6.34,0.553,0.65,73.65,74.4,3,-99,4,-99,0,-99,3.76,-99,91,1224,4,-99,14.42,-99,2.85,-99,1.18,-99,95,-99,4,-99,-99,iteration_231054.009,94.205078725412,MAPE_200_400
4,EMEP1403BN,4,1,BN,50,50,55,54,64,64,84,82,64,4004,90,3178,48,1062,0.1339,0.23,4.64,5.31,133,5302,70,-99,0.01,4.92,0.479,-99,70.8,78.2,2,-99,4,-99,1,-99,3.86,-99,90,2161,4,-99,14.51,-99,2.77,-99,1.21,-99,93,-99,4,-99,-99,iteration_231054.009,94.205078725412,MAPE_200_400
5,EMEP1403BN,5,1,BN,45,51,50,54,59,68,81,90,71,3993,92,5140,41,1964,0.1758,0.19,4.64,4.96,122,5002,50,-99,0.01,5.67,0.584,-99,77.43,77.6,3,-99,3,-99,0,-99,3.61,-99,67,2306,3,-99,14.53,-99,3.09,-99,1.25,-99,90,-99,4,-99,-99,iteration_231054.009,94.205078725412,MAPE_200_400
6,EMEP1403BN,6,1,BN,46,55,51,67,60,74,81,91,68,4340,95,5358,51,3157,0.1335,0.19,4.64,4.95,132,4261,60,-99,0.01,5,0.513,-99,71.67,74.9,3,-99,4,-99,0,-99,3.76,-99,83,1849,3,-99,14.56,-99,2.85,-99,1.26,-99,90,-99,4,-99,-99,iteration_231054.009,94.205078725412,MAPE_200_400
7,EMEP1403BN,8,1,BN,44,41,49,51,58,57,84,84,110,2630,141,-99,55,1215,0.1986,0.21,4.64,4.94,178,3092,70,-99,0.02,6.14,0.615,-99,77.71,72.3,4,-99,5,-99,0,-99,3.56,-99,96,2069,4,-99,14.27,-99,2.7,-99,1.31,-99,93,-99,4,-99,-99,iteration_231054.009,94.205078725412,MAPE_200_400
8,EMEP1403BN,9,1,BN,46,47,51,56,62,65,88,86,109,2080,142,3807,57,1151,0.1912,0.17,4.64,4.63,186,3027,80,-99,0.02,4.59,0.585,0.69,76.77,71.8,4,-99,5,-99,1,-99,3.63,-99,105,2002,4,-99,14.24,-99,2.8,-99,1.16,-99,97,-99,4,-99,-99,iteration_231054.009,94.205078725412,MAPE_200_400
1,EMEP1403BN,1,1,BN,44,35,51,42,60,56,85,72,70,1605,89,2313,37,1090,0.187,0.15,4.64,5.49,120,3202,50,-99,0.01,4.18,0.583,0.5,78.89,70.4,3,-99,3,-99,0,-99,3.58,-99,72,1409,3,-99,14.33,-99,2.82,-99,1.22,-99,94,-99,4,-99,-99,iteration_231054.334,94.2071147299022,MAPE_300_400
2,EMEP1403BN,2,1,BN,46,42,53,48,63,62,87,82,77,1997,99,2923,43,1258,0.1761,0.17,4.64,5.52,137,3204,60,-99,0.01,6.26,0.56,0.62,77.4,72.7,3,-99,4,-99,0,-99,3.64,-99,77,1349,3,-99,14.03,-99,2.94,-99,1.14,-99,96,-99,4,-99,-99,iteration_231054.334,94.2071147299022,MAPE_300_400
